NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
100301693	hbae4	hemoglobin alpha embryonic-4	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1	563335	NCBI Ortholog	NC_048584.1	22561449	22562880
100301726	hbb1	Hemoglobin subunit beta-1	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73582572	73583523
100136291	LOC100136291	beta-globin	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40576326	40577151
100136297	hba1	hemoglobin, alpha 1	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73585417	73586189
100301735	hba4	Hemoglobin subunit alpha-4	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73601060	73601971
110486354	LOC110486354	hemoglobin subunit alpha	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40572568	40573483
110486351	LOC110486351	hemoglobin subunit alpha	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40534711	40535614
110538446	LOC110538446	hemoglobin subunit beta-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73560334	73561279
110538451	LOC110538451	hemoglobin subunit alpha	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73562501	73563404
110538443	LOC110538443	hemoglobin subunit beta	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73617111	73618238
110486353	LOC110486353	hemoglobin subunit alpha-4-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40540811	40541737
110486355	LOC110486355	hemoglobin embryonic subunit alpha	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40622959	40623862
110486356	LOC110486356	hemoglobin subunit beta	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40627548	40628386
110499167	LOC110499167	hemoglobin subunit beta-2	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048584.1	22571727	22572592
110538450	LOC110538450	hemoglobin subunit alpha-4-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73568810	73569803
110538444	LOC110538444	hemoglobin subunit beta	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73566045	73567109
110538449	LOC110538449	hemoglobin subunit alpha-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73608654	73613476
100136207	LOC100136207	hemoglobin subunit beta-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40569835	40570915
110486350	LOC110486350	hemoglobin subunit beta-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40532802	40533721
110486352	LOC110486352	hemoglobin subunit beta	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40538054	40539112
110538445	LOC110538445	hemoglobin subunit beta	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	2			NC_048576.1	73595266	73599921
110538447	LOC110538447	hemoglobin subunit alpha-4-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73619244	73620456
110538448	LOC110538448	hemoglobin subunit alpha-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73596585	73597588
110486357	LOC110486357	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	2			NC_048576.1	73640772	73641980
110486358	LOC110486358	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40612242	40613133
110499168	LOC110499168	hemoglobin subunit alpha-2-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048584.1	22600486	22601541
